Sample,numMultipleAlignPEProper,FR,numMultipleAlignPELongDiscFR,numMultipleAlignPEProperRR,numUniqAlignPEProperFF,numUniqAlignPEProper,numUniqAlignPELongConcFR,numUniqAlignPELong,FF,numMultipleAlignPELongDiscFF,numERCCUniqAlignDisc,numUniqAlign,numERCCUniqAlignPEDisc,numMultipleAlignSE,numUniqAlignSE,numUniqAlignPELongConcFF,RR,numMultipleAlignPELongConcRR,numUniqAlignPELongDiscRR,numAlignments,RF,numUniqAlignPELongDisc,numMultipleAlignPELong,numUniqAlignPEProperFR,numMultipleAlignPELongDiscRR,numERCCUniqAlignPE,numUniqAlignPELongDiscFF,numUnmapped,numUniqAlignPELongConc,numERCCMultipleAlignDisc,numERCCMultipleAlignPEDisc,numUniqAlignPEProperRR,numUniqAlignPELongDiscFR,numUniqAlignPE,numUniqAlignPELongConcRR,numMultipleAlignPELongConc,numMultipleAlignPEProperFR,numMultipleAlignPE,numMultipleAlignPELongConcFR,numERCCMultipleAlignPE,numMultipleAlignPEProperFF,numMultipleAlignPELongDisc,numMultipleAlign,numMultipleAlignPELongConcFF
C54Y_5,0,42880120,0,0,0,91041378,0,0,0,0,0,91041378,0,0,0,0,0,0,0,100003272,48161258,0,0,91041378,0,0,0,8961894,0,0,0,0,0,91041378,0,0,0,0,0,0,0,0,0,0
S21Thom_2,0,43300586,0,0,0,91084610,0,0,0,0,0,91084610,0,0,0,0,0,0,0,102059784,47784024,0,0,91084610,0,0,0,10975174,0,0,0,0,0,91084610,0,0,0,0,0,0,0,0,0,0
NA_1,0,25270002,0,0,0,53518378,0,0,0,0,0,53518378,0,0,0,0,0,0,0,60287458,28248376,0,0,53518378,0,0,0,6769080,0,0,0,0,0,53518378,0,0,0,0,0,0,0,0,0,0
M143wt_1,0,30610524,0,0,0,64142684,0,0,0,0,0,64142684,0,0,0,0,0,0,0,71456830,33532160,0,0,64142684,0,0,0,7314146,0,0,0,0,0,64142684,0,0,0,0,0,0,0,0,0,0
M143wt_5,0,23261536,0,0,0,49628310,0,0,0,0,0,49628310,0,0,0,0,0,0,0,54957700,26366774,0,0,49628310,0,0,0,5329390,0,0,0,0,0,49628310,0,0,0,0,0,0,0,0,0,0
C54wt_1,0,31037518,0,0,0,65466538,0,0,0,0,0,65466538,0,0,0,0,0,0,0,71387786,34429020,0,0,65466538,0,0,0,5921248,0,0,0,0,0,65466538,0,0,0,0,0,0,0,0,0,0
C54Y_6,0,39482504,0,0,0,83596256,0,0,0,0,0,83596256,0,0,0,0,0,0,0,91371588,44113752,0,0,83596256,0,0,0,7775332,0,0,0,0,0,83596256,0,0,0,0,0,0,0,0,0,0
S21Thom_3,0,26684914,0,0,0,56270406,0,0,0,0,0,56270406,0,0,0,0,0,0,0,63624634,29585492,0,0,56270406,0,0,0,7354228,0,0,0,0,0,56270406,0,0,0,0,0,0,0,0,0,0
C54wt_5,0,29141658,0,0,0,61941862,0,0,0,0,0,61941862,0,0,0,0,0,0,0,68986002,32800204,0,0,61941862,0,0,0,7044140,0,0,0,0,0,61941862,0,0,0,0,0,0,0,0,0,0
N12wt_2,0,24667596,0,0,0,52235404,0,0,0,0,0,52235404,0,0,0,0,0,0,0,59133578,27567808,0,0,52235404,0,0,0,6898174,0,0,0,0,0,52235404,0,0,0,0,0,0,0,0,0,0
R146wt_4,0,28303656,0,0,0,59408752,0,0,0,0,0,59408752,0,0,0,0,0,0,0,66798928,31105096,0,0,59408752,0,0,0,7390176,0,0,0,0,0,59408752,0,0,0,0,0,0,0,0,0,0
N12wt_3,0,41279432,0,0,0,87758546,0,0,0,0,0,87758546,0,0,0,0,0,0,0,94301918,46479114,0,0,87758546,0,0,0,6543372,0,0,0,0,0,87758546,0,0,0,0,0,0,0,0,0,0
S21Thet_5,0,39993256,0,0,0,84642016,0,0,0,0,0,84642016,0,0,0,0,0,0,0,94048950,44648760,0,0,84642016,0,0,0,9406934,0,0,0,0,0,84642016,0,0,0,0,0,0,0,0,0,0
